DBpedia_Company_ID,company,locationCity,locationCountry,keyPeople,foundingYear,industry,revenue,numberOfEmployees,asset
DBpedia_Company_95,http://dbpedia.org/resource/National_Commercial_Bank,,,Mansour Saleh Al-Miman  ; Abdulkareem Abu Alnasr  Saeed bin Muhammad Al-Ghamdi,,http://dbpedia.org/resource/Finance,,,
DBpedia_Company_96,http://dbpedia.org/resource/Clustrix,"201;;San Francisco, CA",United States,Mike Azevedo;;Paul Mikesell;;Sergei Tsarev,2006,http://dbpedia.org/resource/Database,,40,
DBpedia_Company_97,http://dbpedia.org/resource/Dark_Descent_Productions_LLC,,,,,,,,
DBpedia_Company_98,http://dbpedia.org/resource/InfoCentral_Solutions,http://dbpedia.org/resource/Brisbane,http://dbpedia.org/resource/Australia,"Peter Brooks, Cheriece Johnson, Nicholas Brooks",1983,http://dbpedia.org/resource/Software,,25,
DBpedia_Company_99,http://dbpedia.org/resource/Ormat_Industries,http://dbpedia.org/resource/Yavne,http://dbpedia.org/resource/Israel,Lucien Bronicki,1965,http://dbpedia.org/resource/Alternative_energy;;http://dbpedia.org/resource/Renewable_energy,3.45E+08,1069,
DBpedia_Company_100,http://dbpedia.org/resource/Shavit_Bar-On_Gal-On_Tzin_Yagur,,,"Senior Partners _?Ilan Shavit, Ofer Bar-On, Yuval Gal-On, Ron Tzin, Tzahi Yagur, Amir Witkon.",1992,http://dbpedia.org/resource/Law,,47,
DBpedia_Company_101,http://dbpedia.org/resource/Stone_Angel_Music,,,,,,,,
DBpedia_Company_102,http://dbpedia.org/resource/Cazzo_Film,,,,1996,http://dbpedia.org/resource/Gay_pornography,,,
DBpedia_Company_103,http://dbpedia.org/resource/I-agent,,,"Carlos Reyes, Principal Broker;;Khalil El-Ghoul , CEO;;Zeeshan Kaba , President",2006,http://dbpedia.org/resource/Real_estate,,,
DBpedia_Company_104,http://dbpedia.org/resource/GlassFrog_International_Aid_Organization,,,Vanessa Mancini;;http://dbpedia.org/resource/Andrea_Lipka;;http://dbpedia.org/resource/Nicole_Verkindt,2010,,,,
DBpedia_Company_105,http://dbpedia.org/resource/Smith_Drug_Company,,,"Kenneth R. Couch, R.Ph.",1944,http://dbpedia.org/resource/Pharmaceutical_drug;;http://dbpedia.org/resource/Pharmacy,,335,
