DBPedia_Company_ID,company,locationCity,locationCountry,keyPeople,foundingYear,industry,revenue,numberOfEmployees,asset
DBPedia_Company_55,"http://dbpedia.org/resource/3PD,_Inc.","http://dbpedia.org/resource/Marietta,_Georgia",http://dbpedia.org/resource/United_States,"Karl Meyer, CEO",2001,,,,
DBPedia_Company_56,http://dbpedia.org/resource/3SixtyMedia,http://dbpedia.org/resource/Manchester,http://dbpedia.org/resource/United_Kingdom,,2000,http://dbpedia.org/resource/Television,,100,
DBPedia_Company_57,http://dbpedia.org/resource/411_PAIN,"Davie, Florida",United States,,1996,,,,
DBPedia_Company_58,http://dbpedia.org/resource/44_Blue_Productions,"http://dbpedia.org/resource/California;;http://dbpedia.org/resource/Studio_City,_Los_Angeles",http://dbpedia.org/resource/United_States,", David Hale, VP of Programming;  Gina Becconsall, Director of Post Operations; PJ Donnelly, Director of Post Technical Operations; Mark Hamaghuchi, Director of Production Management;  Daysun Perkins, Lead Development Executive.;;Rasha Drachkovitch, President;;Sarah Poage, Senior Vice President;;Stephanie Drachkovitch, Executive Vice President",1984,http://dbpedia.org/resource/TV/Film,,,
DBPedia_Company_59,http://dbpedia.org/resource/4K_Media_Inc.,http://dbpedia.org/resource/New_York,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/Norman_J._Grossfeld,1992;;2012,http://dbpedia.org/resource/Anime_industry,,,
DBPedia_Company_60,http://dbpedia.org/resource/5_Star_Productions,"Fort Smith, AR",United States,Mike Hart,,,,4,
DBPedia_Company_61,http://dbpedia.org/resource/505_Games,http://dbpedia.org/resource/Milan,http://dbpedia.org/resource/Italy,,2006,http://dbpedia.org/resource/Video_game_industry,,,
DBPedia_Company_62,http://dbpedia.org/resource/57th_&_Irving,http://dbpedia.org/resource/New_York_City,United States,,2005,,,,
DBPedia_Company_63,http://dbpedia.org/resource/5by5_Studios,"http://dbpedia.org/resource/Austin,_Texas;;http://dbpedia.org/resource/Texas",http://dbpedia.org/resource/United_States,,2009,http://dbpedia.org/resource/Podcast,,2,
DBPedia_Company_64,http://dbpedia.org/resource/5LINX,"http://dbpedia.org/resource/Rochester,_New_York",U.S.A,"Craig Jerabeck, (Chief Executive Officer)",2001,http://dbpedia.org/resource/Multi-level_marketing,,400,
DBPedia_Company_65,http://dbpedia.org/resource/5pb.,"Shibuya, Tokyo",Japan,Chiyomaru Shikura,2005,http://dbpedia.org/resource/Anime;;http://dbpedia.org/resource/Music;;http://dbpedia.org/resource/Video_game,,,
DBPedia_Company_66,http://dbpedia.org/resource/6WIND,Montigny-le-Bretonneux,France,,2000,http://dbpedia.org/resource/Software,,,
DBPedia_Company_67,http://dbpedia.org/resource/7digital,http://dbpedia.org/resource/London,http://dbpedia.org/resource/United_Kingdom,"Simon Cole, Pete Downton, Ben Drury, Stephen Somerville, Gunnar Larsen, Raoul Chatterjee, Paul Langworthy, Paul Shannon, Jill Levene, Chris Dent, John Leonard and Catherine Ponzini",2004,,,125,
DBPedia_Company_68,http://dbpedia.org/resource/8x8,"http://dbpedia.org/resource/San_Jose,_California",USA,CEO: Vik Verma,,,,400,
DBPedia_Company_69,http://dbpedia.org/resource/960_Music_Group,http://dbpedia.org/resource/Lagos,http://dbpedia.org/resource/Nigeria,"* Mark Redguard
* 2face Idibia
* Piriye Isokrari",,,,,
DBPedia_Company_70,http://dbpedia.org/resource/99designs,http://dbpedia.org/resource/San_Francisco,United States,,2008,,,,
DBPedia_Company_71,http://dbpedia.org/resource/9flats,http://dbpedia.org/resource/Hamburg,Germany,Roman Bach;;Stephan Uhrenbacher,2011,http://dbpedia.org/resource/Social_networking_service,,,
DBPedia_Company_72,http://dbpedia.org/resource/A&G_Management_Consulting,http://dbpedia.org/resource/Turin,http://dbpedia.org/resource/Italy,"*Fabio Massimo Cacciatori *Lumiq Studios, *Virtual Reality & Multi Media Spa",1988,http://dbpedia.org/resource/Management_consulting,,,
DBPedia_Company_73,http://dbpedia.org/resource/A&W_Restaurants,"http://dbpedia.org/resource/Lexington,_Kentucky",http://dbpedia.org/resource/United_States,,1919,http://dbpedia.org/resource/Fast_food,,,
DBPedia_Company_74,http://dbpedia.org/resource/A._A._Turki_Group,http://dbpedia.org/resource/Dammam,http://dbpedia.org/resource/Saudi_Arabia,Abdulrahman Ali Al Turki,1950,,,,
DBPedia_Company_75,http://dbpedia.org/resource/A._Contini_&_Son,http://dbpedia.org/resource/New_York_City,http://dbpedia.org/resource/United_States,,,,,,
DBPedia_Company_76,http://dbpedia.org/resource/A._Eicoff_&_Company,401,http://dbpedia.org/resource/United_States,"* William McCabe 
* Francie Gordon 
* Margaret Firalio 
* Ken Houdek 
* Steve Miller 
* Mike Powell",1959,http://dbpedia.org/resource/Advertising;;http://dbpedia.org/resource/Marketing,,120,
DBPedia_Company_77,http://dbpedia.org/resource/A._F._Theriault_Shipyard,Meteghan River,Canada,,1938,http://dbpedia.org/resource/Shipbuilding,1000000,100,
DBPedia_Company_78,http://dbpedia.org/resource/A._Lange_&_S%C3%B6hne,http://dbpedia.org/resource/Glash%C3%BCtte,http://dbpedia.org/resource/Germany,Wilhelm Schmid,,,,,
DBPedia_Company_79,http://dbpedia.org/resource/A._O._Smith,http://dbpedia.org/resource/Milwaukee,http://dbpedia.org/resource/United_States,,1904,http://dbpedia.org/resource/Water_industry,1.94E+09,10900,2.27E+09
DBPedia_Company_80,http://dbpedia.org/resource/A._W._Jenkinson_Forest_Products,"http://dbpedia.org/resource/Penrith,_Cumbria",http://dbpedia.org/resource/England,Allan Wilson Jenkinson,1995,http://dbpedia.org/resource/Forestry,,,
DBPedia_Company_81,"http://dbpedia.org/resource/A._Zerega's_Sons,_Inc.","Fair Lawn, New Jersey",United States,,1848,,,,
DBPedia_Company_82,http://dbpedia.org/resource/A.F._Blakemore,Wolverhampton,UK,,1917,http://dbpedia.org/resource/Wholesale,,8000,
DBPedia_Company_83,http://dbpedia.org/resource/A.J._Canfield_Company,"founded in Chicago, Illinois",United States,,,,,,
DBPedia_Company_84,http://dbpedia.org/resource/A.L.B_(Watches),Toulouse,France,,2012,,,,
DBPedia_Company_85,http://dbpedia.org/resource/A_Bathing_Ape,http://dbpedia.org/resource/Tokyo,http://dbpedia.org/resource/Japan,,,,,,
DBPedia_Company_86,http://dbpedia.org/resource/A_Better_Badge,http://dbpedia.org/resource/London,http://dbpedia.org/resource/England,,1976,,,,
DBPedia_Company_87,http://dbpedia.org/resource/A_Place_for_Mom,"Seattle, Washington",US,,2000,,5.00E+07,,
DBPedia_Company_88,http://dbpedia.org/resource/A+b_kasha,Paris,France,,2004,http://dbpedia.org/resource/Interior_design;;http://dbpedia.org/resource/Real_estate,,5,
DBPedia_Company_89,http://dbpedia.org/resource/A1_Telekom_Austria,http://dbpedia.org/resource/Vienna,http://dbpedia.org/resource/Austria,Hannes Ametsreiter,1996,http://dbpedia.org/resource/Telecommunication,2.70E+09,8800,
DBPedia_Company_90,http://dbpedia.org/resource/A123_Systems,"http://dbpedia.org/resource/Livonia,_Michigan",http://dbpedia.org/resource/United_States,,2001,,,2000,
